9000 22
1,09 2,01 4,103.08 5,103.12 6,103.04 7,103.09 8,2.255500059 9,-0.009700262 10,0.077639752 11,103.08 21,103.08 22,103.08
1,09 2,01 3,1 4,103.09 5,103.27 6,103.09 7,103.23 8,7.766000278 9,-0.13561949 10,0.174604714 11,103.18 12,0.097012029 18,3.896512073 19,0.070710678 20,0.070710678 21,103.13 22,103.13
1,09 2,01 3,2 4,103.24 5,103.25 6,103.19 7,103.24 8,8.979500319 10,0.058145169 11,103.22 12,0.038767203 13,0.135816841 17,0.097012029 18,3.583535836 19,0.072111026 20,0.072111026 21,103.16 22,103.16
1,09 2,01 3,3 4,103.24 5,103.27 6,103.16 7,103.16 8,2.905000088 9,0.077549438 10,0.106630477 11,103.215 12,-0.004844022 13,0.033921303 14,0.13096624 17,0.038767203 18,3.214588057 19,0.021794495 20,0.064983972 21,103.17375 22,103.17375
1,09 2,01 3,4 4,103.16 5,103.16 6,103.15 7,103.15 8,1.025000026 9,0.009694619 10,0.009694619 11,103.155 12,-0.058131086 13,-0.062972292 14,-0.024229502 15,0.072759022 17,-0.004844022 18,4.157483779 19,0.036170891 20,0.056899033 21,103.17 22,103.17
1,09 2,01 3,5 4,103.16 5,103.22 6,103.14 7,103.21 8,3.190500101 9,-0.048444918 10,0.077564475 11,103.18 12,0.024235374 13,-0.0339098 14,-0.03875218 16,0.097012029 17,-0.058131086 18,1.176527452 19,0.030138569 20,0.027156951 21,103.19 22,103.1716667
1,09 2,03 3,5 4,100.69 5,100.79 6,100.68 7,100.78 8,10.91150037 9,-0.089303433 10,0.109257052 11,100.735 12,0.074508246 13,0.064567398 14,0.084451068 15,0.218872805 16,0.268750311 17,-0.009933446 18,2.945900234 19,0.040722639 20,0.080420768 21,100.646 22,100.5545
1,09 2,03 3,6 4,100.77 5,100.81 6,100.69 7,100.81 8,13.51600046 9,-0.039678603 10,0.119177674 11,100.75 12,0.014890554 13,0.089409895 14,0.079467567 15,0.099354198 16,0.233795951 17,0.074508246 18,4.326800383 19,0.048218254 20,0.046043458 21,100.693 22,100.594
1,09 2,03 3,7 4,100.85 5,101.02 6,100.7 7,100.76 8,56.69800187 9,0.089321159 10,0.317775571 11,100.86 12,0.109181141 13,0.124087954 14,0.198688655 15,0.188735472 16,0.208643815 17,0.014890554 18,25.7159885 19,0.068251984 20,0.080156098 21,100.735 22,100.638
1,09 2,03 3,8 4,100.78 5,101.07 6,100.42 7,101.05 8,87.67200288 9,-0.267194458 10,0.647281418 11,100.745 12,-0.114019433 13,-0.004962779 14,0.009927036 15,0.084442678 16,0.074500844 17,0.109181141 18,37.24510411 19,0.065 20,0.071501748 21,100.75 22,100.659
1,09 2,03 3,9 4,101.05 5,101.56 6,101.03 7,101.24 8,57.34750181 9,-0.187672857 10,0.524596654 11,101.295 12,0.545932801 13,0.431290898 14,0.540942928 15,0.555914032 16,0.630836479 17,-0.114019433 18,17.69833304 19,0.290100557 20,0.239128626 21,100.877 22,100.7345
1,09 2,03 3,10 4,101.25 5,101.32 6,101.19 7,101.26 8,32.20850106 9,-0.009875568 10,0.128471193 11,101.255 12,-0.039488622 13,0.506228597 14,0.391631965 15,0.501240695 16,0.516205887 17,0.545932801 18,27.77212259 19,0.30664855 20,0.272658211 21,100.981 22,100.8135
1,09 2,03 3,11 4,101.27 5,101.48 6,101.25 7,101.42 8,31.89800106 9,-0.147899823 10,0.227160494 11,101.365 12,0.108636611 13,0.069105089 14,0.615415157 15,0.500694031 16,0.610421836 17,-0.039488622 18,14.60446768 19,0.055677644 20,0.280989324 21,101.104 22,100.8985
1,09 2,03 3,12 4,101.42 5,101.7 6,101.31 7,101.69 8,57.51750188 9,-0.265512833 10,0.384957062 11,101.505 12,0.138114734 13,0.246901388 14,0.207315267 15,0.75437987 16,0.639500297 17,0.108636611 18,14.70261176 19,0.125299641 20,0.288911751 21,101.233 22,100.984
1,09 2,03 3,13 4,101.68 5,102.02 6,101.68 7,101.96 8,32.34000069 9,-0.274617497 10,0.334382376 11,101.85 12,0.339884735 13,0.4784689 14,0.587625302 15,0.547904635 16,1.096828627 17,0.138114734 18,14.66549665 19,0.249616372 20,0.240946052 21,101.454 22,101.102
1,09 2,03 3,14 4,101.97 5,102.29 6,101.45 7,101.82 8,54.75300125 9,0.147318798 10,0.827994086 11,101.87 12,0.019636721 13,0.359588198 14,0.498199576 15,0.607377413 16,0.567648946 17,0.339884735 18,13.80755605 19,0.205203151 20,0.28012051 21,101.569 22,101.223
1,09 2,03 3,15 4,101.83 5,102.11 6,101.75 7,101.91 8,39.38500085 9,-0.078500638 10,0.353808354 11,101.93 12,0.058898596 13,0.078546883 14,0.418698586 15,0.557391605 16,0.666633746 17,0.019636721 18,11.46116674 19,0.04163332 20,0.252225098 21,101.704 22,101.3425
1,09 2,03 3,16 4,101.92 5,102.04 6,101.79 7,101.98 8,5.511999966 9,-0.058835066 10,0.245603694 11,101.915 12,-0.014715982 13,0.044173947 14,0.063819342 15,0.403920989 16,0.542593597 17,0.058898596 18,25.19335836 19,0.03122499 20,0.175762624 21,101.814 22,101.459
1,09 2,03 3,17 4,101.97 5,102.38 6,101.94 7,102.36 8,40.43400095 9,-0.381008206 10,0.431626447 11,102.16 12,0.240396409 13,0.225645051 14,0.284676549 15,0.30436917 16,0.645288409 17,-0.014715982 18,19.86633141 19,0.137325647 20,0.124498996 21,101.945 22,101.589
1,09 2,03 3,18 4,102.35 5,103.11 6,102.21 7,102.54 8,97.47950275 9,-0.185293544 10,0.880540065 11,102.66 12,0.489428348 13,0.731001325 14,0.716177769 15,0.775498184 16,0.795287187 17,0.240396409 18,46.42513148 19,0.379703832 20,0.329006079 21,102.107 22,101.7805
1,09 2,03 3,19 4,102.55 5,102.65 6,102.33 7,102.41 8,36.05450122 9,0.1367054 10,0.312713769 11,102.49 12,-0.165595169 13,0.323022709 14,0.564195653 15,0.549396645 16,0.608618828 17,0.489428348 18,34.26952025 19,0.254230866 20,0.334148171 21,102.231 22,101.9
1,09 2,03 3,20 4,102.42 5,102.45 6,102.24 7,102.37 8,25.68600089 9,0.048842434 10,0.205399061 11,102.345 12,-0.141477217 13,-0.306838106 14,0.181088489 15,0.421920228 16,0.407142156 17,-0.165595169 18,38.80473236 19,0.157665257 20,0.289210131 21,102.314 22,102.009
1,09 2,03 3,21 4,102.36 5,102.37 6,102.28 7,102.28 8,4.351500138 9,0.07821666 10,0.087993743 11,102.325 12,-0.019541746 13,-0.160991316 14,-0.326319891 15,0.161511355 16,0.402296031 17,-0.141477217 18,16.16450328 19,0.090046284 20,0.188328171 21,102.396 22,102.105
1,09 2,04 4,102.35 5,102.39 6,102.25 7,102.38 8,16.67150059 9,-0.029302598 10,0.136919315 11,102.32 12,-0.004886391 13,-0.024427183 14,-0.165869841 15,-0.331190337 16,0.156617071 17,-0.019541746 18,10.70984399 19,0.013228757 20,0.147334653 21,102.428 22,102.1865
1,09 2,04 3,1 4,102.39 5,102.43 6,102.25 7,102.26 8,11.36450039 9,0.127126931 10,0.17603912 11,102.34 12,0.019546521 13,0.014659174 14,-0.004885437 15,-0.146355742 16,-0.311708553 17,-0.004886391 18,6.179655261 19,0.01040833 20,0.071186375 21,102.364 22,102.2355
1,09 2,04 3,2 4,102.27 5,102.27 6,102.18 7,102.19 8,12.1215004 9,0.078285547 10,0.088079859 11,102.225 12,-0.11237053 13,-0.092845973 14,-0.097727828 15,-0.117250476 16,-0.258561811 17,0.019546521 18,2.870534269 19,0.061441029 20,0.049168079 21,102.311 22,102.271
1,09 2,04 3,3 4,102.19 5,102.21 6,102.16 7,102.17 8,3.248000097 9,0.019575218 10,0.048942835 11,102.185 12,-0.039129371 13,-0.151455931 14,-0.131939015 15,-0.136818959 16,-0.156333968 17,-0.11237053 18,4.919173942 19,0.080467385 20,0.069408213 21,102.279 22,102.2965
1,09 2,04 3,4 4,102.16 5,102.2 6,102.09 7,102.1 8,8.088000268 9,0.058765916 10,0.107748065 11,102.145 12,-0.039144689 13,-0.078258743 14,-0.190541333 15,-0.171032056 16,-0.17591009 17,-0.039129371 18,4.442854424 19,0.04 20,0.084602009 21,102.243 22,102.3195
1,09 2,04 3,5 4,102.11 5,102.13 6,102.08 7,102.1 8,7.591500262 9,0.009794319 10,0.048981191 11,102.105 12,-0.039160018 13,-0.078289377 14,-0.117388114 15,-0.229626734 16,-0.210125098 17,-0.039144689 18,2.662646165 19,0.04 20,0.090138782 21,102.2 22,102.314
1,09 2,04 3,6 4,102.12 5,102.22 6,101.95 7,102 8,16.65750056 9,0.117647059 10,0.264835704 11,102.085 12,-0.019587679 13,-0.058740026 14,-0.097861721 15,-0.1369528 16,-0.249169435 17,-0.039160018 18,5.096979643 19,0.030550505 20,0.057271284 21,102.149 22,102.2565
1,09 2,04 3,7 4,102.01 5,102.14 6,101.91 7,102.04 8,16.16615054 9,-0.029400235 10,0.225689334 11,102.025 12,-0.058774551 13,-0.078350717 14,-0.117480053 15,-0.156578754 16,-0.195646857 17,-0.019587679 18,5.098339822 19,0.04163332 20,0.060663004 21,102.109 22,102.21
1,09 2,04 3,8 4,102.05 5,102.442 6,101.89 7,102.389 8,0.69881501 9,-0.331090254 10,0.541760722 11,102.166 12,0.138201421 13,0.079345643 14,0.059742422 15,0.020559009 16,-0.018593727 17,-0.058774551 18,9.075236799 19,0.070760158 20,0.055047252 21,102.1052 22,102.1921
1,09 2,04 3,9 4,102.38 5,102.722 6,102.29 7,102.611 8,0.660055009 9,-0.225122063 10,0.422328673 11,102.506 12,0.332791731 13,0.471453075 14,0.41240143 15,0.392732971 16,0.353419159 17,0.138201421 18,8.941280384 19,0.247265714 20,0.190468633 21,102.1774 22,102.2102
1,09 2,04 3,10 4,102.612 5,102.701 6,102.41 7,102.672 8,0.368020005 9,-0.058438523 10,0.284151938 11,102.5555 12,0.048289856 13,0.381242292 14,0.519970595 15,0.460890434 16,0.441212477 17,0.332791731 18,0.180836997 19,0.212037929 20,0.246089923 21,102.2675 22,102.23375
1,09 2,04 3,11 4,102.691 5,102.93 6,102.518 7,102.61 8,0.780645011 9,0.078939674 10,0.401880645 11,102.724 12,0.164301281 13,0.212670478 14,0.546169959 15,0.685126195 16,0.625948964 17,0.048289856 18,0.212165732 19,0.114285097 20,0.289682067 21,102.3953 22,102.27215
1,09 2,04 3,12 4,102.629 5,102.831 6,102.071 7,102.269 8,1.172265016 9,0.352012829 10,0.744579753 11,102.451 12,-0.265760679 13,-0.101896047 14,-0.053655396 15,0.278957775 16,0.417544719 17,0.164301281 18,0.40216822 19,0.137744631 20,0.203315026 21,102.4805 22,102.29475
1,09 2,04 3,13 4,102.27 5,102.731 6,102.25 7,102.622 8,0.443030009 9,-0.343006373 10,0.470415648 11,102.4905 12,0.038555017 13,-0.227308127 14,-0.063380316 15,-0.015121066 16,0.317620343 17,-0.265760679 18,0.364950639 19,0.147541802 20,0.106627506 21,102.5454 22,102.3253
1,09 2,04 3,14 4,102.631 5,102.762 6,102.439 7,102.521 8,0.389095008 9,0.107295091 10,0.315309599 11,102.6005 12,0.107327021 13,0.145923417 14,-0.120225069 15,0.04387868 16,0.092189725 17,0.038555017 18,0.437425792 19,0.077470962 20,0.106272409 21,102.5643 22,102.37085
1,09 2,04 3,15 4,102.509 5,102.708 6,101.818 7,101.968 8,0.683037014 9,0.530558607 10,0.874108704 11,102.263 12,-0.328945765 13,-0.221971793 14,-0.183502357 15,-0.448775359 16,-0.285211422 17,0.107327021 18,0.156479098 19,0.172125197 20,0.172313885 21,102.5058 22,102.38665
1,09 2,04 3,16 4,101.979 5,102.171 6,101.84 7,102.109 8,0.338275007 9,-0.127314928 10,0.325019639 11,102.0055 12,-0.251801727 13,-0.579919201 14,-0.473214591 15,-0.434842022 16,-0.699447062 17,-0.328945765 18,0.186120667 19,0.298395012 20,0.23356407 21,102.3621 22,102.3787
1,09 2,04 3,17 4,102.122 5,102.32 6,102.029 7,102.12 8,0.211440005 9,0.00195848 10,0.285213028 11,102.1745 12,0.165677341 13,-0.086541564 14,-0.415202655 15,-0.308321259 16,-0.269885116 17,-0.251801727 18,0.24404634 19,0.130830361 20,0.239900396 21,102.3068 22,102.39365
1,09 2,04 3,18 4,102.119 5,102.151 6,101.688 7,101.831 8,0.454490008 9,0.282821538 10,0.455314295 11,101.9195 12,-0.249573034 13,-0.084309179 14,-0.335898614 15,-0.663739455 16,-0.557124807 17,0.165677341 18,0.121563666 19,0.129731775 20,0.265167966 21,102.1926 22,102.369
1,09 2,04 3,19 4,101.829 5,101.962 6,101.819 7,101.929 8,0.249960003 9,-0.098107506 10,0.1404453 11,101.8905 12,-0.028453829 13,-0.27795585 14,-0.112739019 15,-0.364256867 16,-0.692004425 17,-0.249573034 18,0.13063283 19,0.156270065 20,0.162263828 21,102.0506 22,102.30745
1,09 2,04 3,20 4,101.92 5,101.94 6,101.797 7,101.807 8,0.171100002 9,0.110994332 10,0.140475653 11,101.8685 12,-0.021591807 13,-0.050039492 14,-0.299487641 15,-0.134306483 16,-0.385770024 17,-0.028453829 18,0.146265351 19,0.02557994 20,0.124738527 21,101.9717 22,102.23875
1,09 2,05 3,6 4,102.002 5,102.072 6,101.989 7,102.072 8,0.02261 9,-0.068579042 10,0.081381325 11,102.0305 12,0.159028552 13,0.137402407 14,0.108909482 15,-0.140935361 16,0.024508482 17,-0.021591807 18,0.115438443 19,0.087871118 20,0.126914144 21,101.9767 22,102.1694
1,09 2,05 3,7 4,102.072 5,102.149 6,101.8 7,101.852 8,0.467520007 9,0.215999686 10,0.342829077 11,101.9745 12,-0.054885549 13,0.104055719 14,0.082441444 15,0.053964158 16,-0.195743556 17,0.159028552 18,0.226516745 19,0.082275958 20,0.065781456 21,101.9367 22,102.12175
1,09 2,05 3,8 4,101.861 5,102.151 6,101.842 7,102.139 8,0.555055008 9,-0.27217811 10,0.303411166 11,101.9965 12,0.021574021 13,-0.033323369 14,0.125652189 15,0.104033251 16,0.075549821 17,-0.054885549 18,0.28551269 19,0.028213472 20,0.069647685 21,101.9521 22,102.07235
1,09 2,05 3,9 4,102.148 5,102.412 6,102.138 7,102.31 8,0.367345005 9,-0.158342293 10,0.268264505 11,102.275 12,0.273048585 13,0.294681514 14,0.239634227 15,0.399043865 16,0.377365898 17,0.021574021 18,0.093925904 19,0.167504478 20,0.150253952 21,102.029 22,102.0398
